scramble,orientation,2x2x2,2x2x3,EO,block_fr,block_br,co,pll,total_moves
F' R' D B R' D2 F2 B U F L2 U R U' D2 R' F2 L' F' L' D' L2 F R2 F,,F2 D' L F2 L' U,D' L' F' D2 F L B',B R B2 D' B,R2 D R D2 R2 D' R2,D' L' D R' D' L R,B D2 B' D' B D' B',D L' R' D2 L R B D' F D2 B' D F' D',53
D2 L2 F' B' D R2 F2 D U2 L D2 F2 U' D F R F L R2 B2 U D' R2 U,,B' D U2 R' D' L',L B' L' R' B,B F' R B' F,B2 L U2 L U2 L2 B2,F D' F' R2 B' D' B D R2,L' F' L B' L' F L B,F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D',55
U' B L U R2 L2 D2 R' L' D2 F' U B' U' D L2 D2 R B L' B',,L2 F' L2 U' R' F2,B2 R' B L' D' L,,R D2 R' D2 R D R',D R' D R D' R,D L2 B2 L F2 L' B2 L F2 L,D R2 F2 R B R' F2 R B' R D2,46
U L D2 F L' U L2 R B' D L B' U' L F B' U2 L2 R U2 D R L2,,F' L' D' L' U F L,F' R2 B2 F D B',B' D B,D' R D' R' D R D R',U' R D' R' U,D2 L2 B2 L F2 L' B2 L F2 L,D B2 D' L R' B2 L' R D' B2 D2 D',51
R2 B' D2 B2 D' F2 U L B F' R' B2 D2 B L B U F' L' U F2,,B' R' D' U B' U2 L,R2 D2 R D' B2,R B F' R B' F2 D F',U R U2 L' B2 L U,D' R' D2 R D R' D' R,R D R' D R D2 R',D2 L' F R' D2 L B' L R2 U2 R2 B L' R D2,57
B U' R2 D2 L' D U L' B' R' L2 U2 D' B2 F D L2 B2 U D2 F2 D B L' R,,B2 L D2 L',B' R' B2 D' R' D B',R F D2 F2 R F,D' R D2 R' D2 R D2 R',D2 R2 D2 R2,F' D2 B' F D L2 D L2 D' L2 B,D2 L R D2 R' D' R D2 L' D R' D2,52
D' R2 D' F B2 L D F' B D2 U L R' U2 F2 U' L' R F B,,D2 F' D U' R' U2,B2 D2 B' R2 D2 B',F' R' F,D2 R D2 R',D' R D2 R2,L2 B2 L F2 L' B2 L F2 L,D F2 U B2 U R2 B U F' U2 B U' F' D' D2,47
B2 F2 R U D' B F D' L B' U2 F' L2 U2 F' R2 D' R' B R2 F' U L,,D B L2 D L' F,B' R' B2 R2 D2 B',D' B R B2 D' B,D' R' D2 R',D R2 D2 R D R' D R2,B' L' B R' B' L B R,D' L' D2 L B R D' R' D' B' D' L B' L' B D',54
R D2 L F' B' D' F B2 R L U2 L B R' B' U' F U' F R D2,,R' U' B' F' L,D' B' D B D2 B2,F' R F2 D F',B2 L' D' L D B2,D2 R' D R' D' R2,R' B' R F' R' B R F,D D' F2 U' B2 U' L2 B' U' F U2 B' U F D2,51
U' B2 L F U' B' F L B2 F' D' B' L D2 B2 D2 F2 U2 F B2 D2 L' D2 F R2,,D B L D2 L U',R2 D2 B' D2 R D2 B',F' R F,R2 D R D2 R2,D R' D R D' R' D' R,D L2 B2 L F2 L' B2 L F2 L,D' F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,54
U F2 U' D B' U' D L2 U2 F' L R F B2 U2 L' B2 U' L D2 F R L2 D' U2,,L B' D2 U' B2 L,R' B R D B2,F D' F',R2 B2 D' R B2 R' D B2,L' D R' D' L R,B D' F' D B' D' F,D2 D' B2 U' L2 D L2 B2 U R2 D' R2 D,48
U2 B2 R L2 D' U' R2 U2 D' F B' D2 B D2 R' B' D' L B2 U' R F2 B2,,D B R U L2,B' D' L U B U' B2 L',F' R F,D2 B2 L U' L U L2 B2,D R D R' D R2,D2 L2 B2 L F2 L' B2 L F2 L,R2 F2 R B R' F2 R B' R D2 D2,51
B L' F R2 D L2 D L F' D R L2 U2 R' F2 L' R' U2 F' R D L D' F',,F' U' F',B' R' U' B2 U,D R' B' D' B,D R D' R' D R',D R2 D2 R D R' D R2,L' F' L B' L' F L B,D2 D' F2 U' B2 U' L2 B' U' F U2 B' U F,49
U F' B2 D2 U2 B U2 D2 R F' D2 U2 B' U' B U D' R' F' U' F2 L2 R',,B' L' D L F,R2 D2 B R2 B,D2 B R B2 D' B,R D' R' D' R D R',R' D' R2 D' R D2 R2,R' B' R F' R' B R F,D' F2 U' B2 U' L2 B' U' F U2 B' U F D',52
U L R F2 R' F L F' R2 F L U D B2 U2 L U2 B U F' U' F' L2 D' R',,D2 U F2 L2 F,R2 D' R D' R' B2,F D' F',R' D2 R D R' D R',R' D R D R' D' R,D2 L' D2 L2 D L2 D L2 D2 L',L2 D B' F L2 B F' D L2 D',48
B' U L B' D L U' D2 L R U R L2 D' L2 D' L2 F L2 B',,R2 D' L U' F2 L,L R U2 R U2 B' L',B' F D B F',D' R D R',D R D R' D2 R,D L' D2 L2 D L2 D L2 D2 L',F2 U F' D' B D2 F' D B' D' F2 L2 U' F2,52
U F R' F' B R' F' U' F2 R' U L' D2 B R' L D F' L' F D' F,,U' L' B L F2 U',B L2 U F2 U' L2,B U R2 U' B',B2 L U' L U L2 B2,D' R D2 R2 D' R,F' R' F L' F' R F L,D L' F R' D2 L B' L R2 U2 R2 B L' R,52
D F' B2 U D L' R' F' U R' U' R' B2 D' B2 L' D2 L R F',,B2 U2 R' U F',B D' L' D L D2 B',B' F D B F',D R D2 R D R2,R2 D2 R D R' D R2,R D R' D R D2 R',D L' D2 L B R D' R' D' B' D' L B' L' B D2,53
B2 U' B' D B2 L F B' L2 R2 B U' B2 F2 U2 B2 L' U R B2 R' U' B2 U2,,R' D R B D' F2,D R2 D2 B D2 B2,R' B' F D' B F',R2 D R' D' R' D' R2,D2 F2 L D L' D' F2,R' B' R F' R' B R F,D2 F' R F' L2 F R' F' L2 F2 D',51
L' U2 D2 F' U R F U' L' F' D2 F B L2 B' D B2 D R L' D F B,,R D' R D' B' U' F,B L B2 L2 D L B',R2 B' D B,R D' R' D' R D R',R' D2 R D R D2 R,B D2 B' D' B D' B',R' D L' D R D2 B R F2 R' B' F2 D L D2,54
F' U B2 R' F' D' L' D2 L2 D R F D2 R D2 F' U' F U' F' R' D2 B,,B' U2 R D L U',R B2 R B2 U R U',F D F',R D R' D' R D R',R2 U' R D2 R' U,B D' F' D B' D' F,D' L' F R' D2 L B' L R2 U2 R2 B L' R D2,51
R' B F2 L' U' D2 L' F2 D2 U2 B2 F L D2 B D' L R' U' F R F2 U' L,,R F2 D B' U L2,L' D L B' D2 B2,B R B2 D' B,D' R2 D2 R' D' R D' R2,L' U F2 U' L D R,B' L' B R' B' L B R,R' U F2 L2 U L' B2 L U' L2 F2 U' R D,54
U2 B2 U2 F2 U L D2 F' B' L' R' F D' U L2 U B' R L U' B2,,R2 F D U2 L' U',L R2 F' U F L',B R' B2 F D' B F',R2 D' R2 D2 R',B' D F2 D' B D F2,B' L' B R' B' L B R,D F2 U F' D' B D2 F' D B' D' F2 L2 U' F2,54
F R D' U R' D2 R' F2 B2 R' F2 R2 D' F' U R2 L2 U D' F' L' B,,B2 L2 U' L B D L2,B D' L U' L U L2,B R' B2 F D' B F',B2 L U' L U L2 B2,D R' D R2,L2 B2 L F2 L' B2 L F2 L,B2 D' L R' B2 L' R D' B2 D2 D2,52
U' R U2 B D2 L R F D2 F L' U D' F2 D U2 R2 L' F' B' R,,D' F U2 L' B' L,D2 R2 D' R D R2 B2,D2 B R2 B',D' R D2 R' D' R D R',D R2 D R' D2 R,R' D' R D' R' D2 R,D' F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D2,54
D' L F U F' U F L U2 L D2 F2 D' L2 U B L2 F' L2 F2 U' D' F U2 L2,,D' U2 B' L2 D2 L',R2 B' R D2 R' D B',R2 B' D B,D' R2 D' R2,D F2 L' U L' U' L2 F2,F' R' B' R F R' B R,D2 F' R F' L2 F R' F' L2 F2,47
U2 B2 F2 U L2 D B D' U2 F' R' L F' L U2 D' R2 F' L' R B',,D2 F L' D B' F U',B R' D' B R' B2,D2 B R B2 D' B,D' B2 R D2 R2 D2 R' B2,R' D' R D R' D2 R,L2 B2 L F2 L' B2 L F2 L,D2 L' F R' D2 L B' L R2 U2 R2 B L' R D',58
U L' B2 U2 D' F2 U' L2 U2 R F' U2 L2 U B' F2 L F' R B' L' U2 R2,,L F' U B2 L U',B2 R B' R2 D R2 B2,B R' B',L R2 U' B2 U L' D' R',D R2 D2 R D R' D R2,,D' R2 F2 R B R' F2 R B' R D2 D2,44
F2 L U R L2 B F' D B' R2 D' L B U B' L2 U2 F D B2,,U2 L' U L2 B D L2,B2 D2 U R U' B,B F' R B2 F D' B,D R' D R' D' R',D R' D2 R D R' D' R,B D2 B' D' B D' B',D' B2 L2 D' L2 U B2 U' B2 D B2,52
U F' B' U F' B R D' B D2 B' F2 L F' D' L2 B F L' D' U' R2 F2 L' R',,R2 U2 R' B' U L,B' D' R' D R' D B',R' B' D' B,D2 R D2 R' D R',F D2 F D F' D F D2 F2,B' L' F' L B L' F L,D' F' R F' L2 F R' F' L2 F2 D2,51
D F D L' R' F' R' U' D' R2 U' D F B2 U' L B R2 L2 F R2 D' F',,R2 F L' B D' L F,U' L2 D' L2 B U,F' R F,R D2 R' U' L B2 L' U,F2 L' U L' U' L2 F2,D F' D2 B' F D L2 D L2 D' L2 B,R' U F2 L2 U L' B2 L U' L2 F2 U' R D',57
L U R F' B2 U2 L' F' B2 U' D' F2 R L2 U2 F2 R2 D R2 F2 R' B' R B U',,F' U2 B' L B L,D2 R' B D R' B,D2 B R' B2 D' B,D R2 D R' D' R D' R2,R' D R D2 R' D2 R,L' D2 L2 D L2 D L2 D2 L',D L' D2 L B R D' R' D' B' D' L B' L' B D2,58
F R B' U' L2 F' B2 U' R F' L2 F D B2 D' U' L' R F L2 U2 B' U2,,R F2 U L B' U',U' L U' L' U2,R' B R' B2 D' B,R D2 R' D' R D R',R D R,B D' F' D B' D' F,D' L' R' D2 L R B D' F D2 B' D F' D,48
D2 U' F2 B' L2 D2 U2 F' B' D F2 L2 R2 B U' F2 B2 L' R D F R' B' R' B',,D2 L' F D2 R U,D U' B' U,B R' B2 D' B,R' D R2,L U2 L' D' L U2 L',B D' F' D B' D' F,D' B2 U' L2 D L2 B2 U R2 D' R2,43
B2 D' F D2 B U' F B R L' U' D' R2 D' B2 F L2 B R D' L2 R' B2 R',,D' U2 F' L2 R' F2,D2 B2 D L B' L',D2 B F' R' B' F,R2 D R' D R',R' D2 R D2 R' D2 R,F' R' B' R F R' B R,D L' F R' D2 L B' L R2 U2 R2 B L' R D,53
U L R F' R2 D F2 D R2 D2 F' U' D F R2 F2 D2 F B' U B2 D2 B' R2 F2,,D' U R D' F2,B2 D U R U' B,D2 B R B2 D' B,R' D2 R' D2 R2,D2 R' D2 R D R' D2 R,F' R' B' R F R' B R,D2 L' R' D2 L R B D' F D2 B' D F' D2,52
B' D' L B R' D' U' R2 L2 F2 U' L' F R L' B2 R' F' R' L2 U F2 B' R2 U,,F2 R' B' L' B' L2 U',B' D R2 B' R B2,R B' D' B,L' D2 L D2 L B2 L' B2,D R' D' R,F' D2 B' F D L2 D L2 D' L2 B,D B' L B L' R' B L R' B L' B' R2,53
F2 U' D' B' D' U' F U B' D' F' D' U B2 F2 U' D' B' D' B2 D L B D',,F2 R F U R F',D' R B2 R D' B2,F' R F,R D' R D' R' D2 R',L' D R' D' L R,R' D' R D' R' D2 R,D' F2 U B2 U R2 B U F' U2 B U' F' D',49
L2 B2 R' B' U' L R B D2 R F B' R' B' R2 B' U' F' L' U',,F U L2 R2 U L,D B2 D B',D' F' R B' F2 D' B F',B R2 D R2 D' B' R2,R2 D' R2 D' R2 D2 R2,L' D2 L2 D L2 D L2 D2 L',D R2 F2 R B R' F2 R B' R D2 D',53
D' R2 B F' U' D2 F2 B' R2 D' U F2 D' R' U D2 L B F2 U2 L2 B,,D2 U2 F2 R' B' L U',R' B2 D' B' R2 B,F' R' F2 D2 F',R D R' D' R2,F2 L D L' D' F2,F' R' F L' F' R F L,D F2 R D' L D2 R' D L' R2 F2 R2 D F2,51
F' L2 B2 U2 B U' B2 R B2 F D F U' D2 B' L F' D2 F' B' D,,U' B D' F2 R D2 L2,B2 D B2 R' B R2 B2,R B' D' B,R2 D R2 D R2 D2 R2,U' R D R' U,L' D2 L2 D L2 D L2 D2 L',D' R2 F2 R B R' F2 R B' R D2 D,51
R F2 L' D2 L2 R' D' F' D' B' L2 R D' R L' D2 F U' L R' F2 B' U L2,,F' R' B' R' U2,D' L' D L2 B' L',D' F' R B' F2 D' B F',D' R2 D R D' R2,F D2 F D F' D F D2 F2,D F' D2 B' F D L2 D L2 D' L2 B,D B2 D' L R' B2 L' R D' B2 D2 D2,58
U2 R U R2 F' B2 L B L' B' D' U2 L' U' B F' L B D' B' U D F L2,,L' F2 D' R2 B' L2,R D B' D2 R' D B',R B' D' B,D' R' D R D2 R2,R2 D' R2 D' R2 D2 R2,F' D2 B' F D L2 D L2 D' L2 B,D2 L' F R' D2 L B' L R2 U2 R2 B L' R,55
R2 B2 D B D F L2 D' U2 L' R2 D U B L U' D2 F' R D B,,U L2 B R' B' U2,B2 R' D2 R2 B,B' F D B F',R2 D2 R' D2 R2,F2 L D L' D' F2,B' D F D' B D F',D' L2 D B' F L2 B F' D L2 D',45
R' L' U' F2 B2 L2 B D' F2 R F B' U2 F U' D2 F2 L2 R2 F' R L U,,B2 F L' B' L' U',R' B' R B D B',B' D B,D2 R D2 R' D2 R D2 R',R2 D' R D' R,B' L' F' L B L' F L,L' F R' D2 L B' L R2 U2 R2 B L' R D',50
L F' B D' B' L' F' U' R' D2 L' R B L2 R2 D2 F' R' D' B',,L' U' R2 B D2 L2,B' L B L' R D2 B',B' D2 B2 R2 B',R2 D R D2 R2 D' R2,D2 R' D2 R D R' D' R,L2 B2 L F2 L' B2 L F2 L,D' F' R F' L2 F R' F' L2 F2 D,53
D2 B L2 R2 F2 D B2 R U' R2 D' L' R2 F2 U' L R2 F' D2 B' U',,U' B D' B2 F2 L,D2 R' B R D' R' B2,B' D' B,D2 R' D R' D' R2,L' D R' D' L R,D2 L2 B2 L F2 L' B2 L F2 L,L R D2 R' D' R D2 L' D R' D',49
U2 R' F D' R' D' U L B2 D' F2 R2 U L2 F' L2 B2 F2 L D2,,R U B F L2 U',D B R' D' R' B2,R F D2 F2 R F,D R D R2 D' R2,D2 R' D' R,R D R' D R D2 R',D' B2 D' L R' B2 L' R D' B2 D2 D',47
B' R2 F2 R L F' R L D U2 R2 L' U' R D' L' R2 F' B2 R2 B,,L' F' R' U2 F2,D' R' B D2 B2 D' B',,R' U' L B2 L' U,D2 R2 D2 R D R' D R2,R' D' R D' R' D2 R,D F2 U B2 U R2 B U F' U2 B U' F' D' D,48
L' U2 L U2 F2 U R U' F' U2 F' U' R2 F R2 F' B2 R' F2 R L2 D2 L F,,U2 B' L D L2 F U,R' U' L' D L U B,D2 B R2 B',R D2 R' D2 R D R',D2 R' D' R2 D R2,R' B' R F' R' B R F,D' D' B2 U' L2 D L2 B2 U R2 D' R2 D2,52
L U D2 B' D' F' L U' L B2 L2 B2 L2 F' L' B' L2 R' D R,,U F L R2 B2 U',B2 D2 R2 B,D2 B F' R' B' F,R2 D2 R2 D2 R',D2 R' D2 R,B' D F D' B D F',D2 D' B2 U' L2 D L2 B2 U R2 D' R2 D,45
B F R2 D' U2 L B2 D2 L' D' B2 U' R2 U2 B' U2 F2 B2 R L2 U L,,B2 D B2 D L2 F,R2 D2 R' B' R B2,R B' D B,R D' R' D2 R D2 R',R' D R' D2 R D2 R2,D' L2 B2 L F2 L' B2 L F2 L,D,41
B F' D' U' F U L' F2 L2 R' B D' R B' R F' R D2 U2 B,,B2 D2 R2 D' L B' U',D' R' D2 B R' B,F' R B' F D' B,R2 D2 R D R2,D2 R' D2 R D R' D' R,D F' D2 B' F D L2 D L2 D' L2 B,D L D' B R' B' L' B R B' D' L D2 L',58
R2 U B2 U2 L2 B L D2 R' L' B' F L2 B' L F2 L B2 U D' R2 D2 L',,F2 U F' U2 B' R U2,D B' R D2 B' R' B,R2 B R' B2 D' B,D R2 U' L B2 L' U,D B' D F2 D' B D F2,L' D2 L2 D L2 D L2 D2 L',D2 F' R F' L2 F R' F' L2 F2,54
D2 L' F' U2 L F R2 F2 R2 B' U F L2 B2 U L2 R' B2 R' L U F' L F',,U2 R D' F2 R F',B2 R B' D2 B R' B2,F D' F2 R' F,R2 U R' D R U',D R D2 R2 D' R2 D' R',F' D2 F D F' D F,D L D' B R' B' L' B R B' D' L D2 L',53
F' U' R2 D2 R' U' B2 U' L2 R' U F D' B' F D B2 F' U' F2 L' R B2,,L2 R' D U2 B2 L2,D' L U' L U L2,B R2 B2 D' B,D2 R' D2 R',R D2 R2 D' R2 D' R',F' R' B' R F R' B R,,36
D' U' L' F2 D F2 B2 U B2 R2 L2 B2 F D R' L2 B' F' D' R B U' R' F2,,R D2 R2 D F R U,B2 U' B U,,L D' R D L' R',R2 D2 R D R,L2 B2 L F2 L' B2 L F2 L,D2 L2 D B' F L2 B F' D L2 D' D',43
D L2 D' U B' D U2 R U' B F' R F2 L2 U R2 B R2 F2 D',,R' U L2 F' U B' U',B D' R' U R U',B' D2 B2 R' B',R2 D' R D' R2,D R2 D2 R D R' D R2,F D' B' D F' D' B,D2 R' D L' D R D2 B R F2 R' B' F2 D L,53
F2 B' D R2 U2 L' U F U D' B' R' D' U2 R' B U2 R' L2 B,,D' U F' L D2 B' U',D B' R' D R' D B',B R' B2 D' B,D2 R D R',R2 D R' D R2,F' D2 F D F' D F,R2 B2 U2 L2 B' F' U2 R2 B' F' D,46
B' D' U2 F' B' D' L F2 R2 B F2 L U' D F' R U' B2 L' B D2 R F2 U2 D2,,D2 F' R F' U B' U',D2 B' U R' U',B' D B2 R' B',D' R D' R' D R D R',R' D2 R D2 R2,R' D' R D' R' D2 R,D F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,52
R2 L F L U2 F L R D F2 R D F2 D F2 L U D2 B2 U2,,F2 U B L D F2,R B' U' B' D' U B2,B R' B',U' R D R' U R,D R' D2 R D2 R' D2 R,B' L' F' L B L' F L,D R' D L' D R D2 B R F2 R' B' F2 D L,53
U' L D2 R L' U' D' F L2 D U2 B' F2 U' R2 D F' L2 B2 F' D2 B2 F',,U2 F' R' B' U' F',D R' B' R B2 D B',D2 B R2 B',B2 L2 F2 L F2 L B2,B D' F D B' D' F',D2 L' D2 L2 D L2 D L2 D2 L',D' L' R' D2 L R B D' F D2 B' D F' D,55
D' U L' D' L' D R D R2 L' F2 R' L2 B D' U2 R' D2 U2 B' U',,L D L' D F2,R B2 R D' U R' U',D2 B R' B',R D2 R',R2 D2 R' D' R2,R' B R F' R' B' R F,D2 B2 L2 D' L2 U B2 U' B2 D B2,43
L2 R' U R2 F D2 L2 B L U' L' R2 U' F2 B' R U D F' U R' L B2,,B R2 U2 F2 D L F,D' R' F D' B' F',F' U' R2 U F,R D R' D' R',L U2 L' D2 L U2 L',F' D B D' F D B',D' R2 F2 R B R' F2 R B' R D2 D,49
U' D' R F2 L2 F' R2 B2 U2 L D' B D' L' B2 F R2 D2 U' F2 D R' F2 R2 L,,U2 L B' L' D L2 F,B' U R' D U' R2 B2,F' R' F2 D2 F',R D2 R' D' R D R',D R2 D R2,F' R' F L' F' R F L,D' L' D2 L B R D' R' D' B' D' L B' L' B D',54
D2 U2 F2 U' D' R' B' F' R' L' D2 B2 D' R L' F U' L R' D2 F,,R' F' L2 U,B' R' B2 R D B',F' R F,D U R' D' R U',D' R' D2 L' D R D' L,F' D2 B' F D L2 D L2 D' L2 B,D R' D L' D R D2 B R F2 R' B' F2 D L,53
D B F2 R B' L2 B2 D' L2 U2 B D B U' F2 R2 D' L2 U' F B2 U R B2 D',,B D2 U' B L2 U',L U R2 U' L2 D' L,R' B' F D' B F',B' D2 B' D' B D' B' D2 B2,R2 D' R D' R,D' L2 B2 L F2 L' B2 L F2 L,B2 L2 D' L2 U B2 U' B2 D B2 D,54
R2 B F U2 B2 U B' R B' U' F' L' F R2 L B' L2 U L F B2 U2 L',,B' D2 F2 L R2 U L,R' B R2 B2 D B',R' B' F D' B F',D2 R D2 R' D R',R' D2 R D R' D2 R,L' F L B' L' F' L B,D' L D' B R' B' L' B R B' D' L D2 L' D2,55
F2 B2 D' U2 F2 R' U' L D' F2 D2 R U' F2 U' F R L' U D' F B' U R' U,,D' L B' F2 D' L F,B D' R' D B',F' R F2 D F',D2 R D' R2,F D' F' R2 B' D' B D R2,R' B' R F' R' B R F,D F2 U B2 U R2 B U F' U2 B U' F' D' D2,53
B R L2 F2 L B' D2 B L' R' F2 L B' U2 L R B L2 D2 F' D' R2 D B2 L,,R2 B U' B2 F' L2,R2 D' R2 B D2 R B2,B R2 B',D R D2 R' D2 R D2 R',R' D2 R2 D' R,B D2 B' D' B D' B',D' R' D L' D R D2 B R F2 R' B' F2 D L,51
D F' D' F' U2 L' B2 D2 B L D2 L2 D' R L U' F2 B L2 F R U2 D',,D B' L2 F' L',R2 B R D2 B' D' B2,B' D B2 R' B',R2 D' R D2 R' D R',R' D2 R D2 R' D' R,B' L' B R' B' L B R,D F2 U F' D' B D2 F' D B' D' F2 L2 U' F2 D,55
F R' D2 F U' F2 R2 U' R' U R2 L B' L R2 B2 L2 U2 D2 F L2 U' D' L2 F2,,F2 D2 U' B2 F L2,D2 B2 D L B2 L',F' R F2 D F',R2 D R' D R D2 R2,D' R' D' R2,F' R' F L' F' R F L,D D' B2 U' L2 D L2 B2 U R2 D' R2 D,49
F L' D' R D2 B U R2 D L2 U2 F' B L2 U' F2 R U' L' R' B F',,D F' L F2 L F,L U L2 R D F2 L,B' R' D R B,D' R D' R' D R D R',R2 D2 R D' R,B D2 B' D' B D' B',L D' B R' B' L' B R B' D' L D2 L' D2,52
D2 U F R2 F2 B' R' L U2 B D U' R2 D2 R' F L' U' R2 L B2 F U' D,,L2 D U' L' D F,R D' B2 D B',R B' D B,D2 R D2 R2 D' R2,D R' D2 R D R' D' R,B' D F D' B D F',L' D2 L B R D' R' D' B' D' L B' L' B,50
R B' D' L B2 L2 B2 D F2 D R2 D U' B2 F2 R' B D F R2 B2 U',,F U' B F2 L,F' R F2 U' L U F',F' R' F2 D2 F',U' R D R' U R,R D2 R2 D' R2 D' R',B' L' B R' B' L B R,D2 L' R' D2 L R B D' F D2 B' D F',51
D F' B' L2 B F2 L D R' B' L' B' R' D F B U B2 R' U2 D' R' U D2 L',,D' U2 B2 F R F2,R' B D' B' R' D B',D2 B R' B',R D2 R D2 R2,B D' F D B' D' F',L2 B2 L F2 L' B2 L F2 L,D' F2 R D' L D2 R' D L' R2 F2 R2 D F2 D2,53
U' B2 U R U2 L' F' R2 L D' R' F2 R2 F R2 U L2 R2 U2 L' U',,F L R2 F2 U,B R D2 R2 D' R' B2,D2 B R' B2 D' B,R' D R' D R',L' D R' D' L D2 R,B' D F D' B D F',D2 R2 F2 R B R' F2 R B' R D2 D',49
F' L D' R L' U2 L2 F2 R U R' F2 D' U F2 R F' L' D' R' B D2 R' F' U2,,L2 U' L' F' L' F,R U' B D2 U B',R' B' F D' B F',R' D R' D2 R' D2 R',F2 L D L' D' F2,,L' F R' D2 L B' L R2 U2 R2 B L' R D2,45
F' U' F' L' B L' B2 D' F U' R2 B' U' L2 F L2 D2 F' D2 F2 R2 F' R F,,R2 F' L2 B' U',D2 R D' B2,B' D' B,D R2 D2 R' D' R',D2 F2 L D L' D' F2,L' D2 L2 D L2 D L2 D2 L',D D' F2 U' B2 U' L2 B' U' F U2 B' U F D2,49
U2 L' R U D R' F B' U' F2 L2 F2 R' F L2 U' D B2 D L R F D,,F' L B' F2 L2 D F,R D2 B2 D' R D2 B',R' B U R2 U' B',D R D2 R2,D2 R' D2 R D R' D2 R,B' L' F' L B L' F L,L' F R' D2 L B' L R2 U2 R2 B L' R D,54
B L2 U' D2 L' U D' B2 D2 R2 B R' F R2 U' D2 L2 U2 D' B,,F L U L2 F' U L',R' D' R' B' R B2,F D F',D2 R D' R2,F D' F' R2 B' D' B D R2,L' F' L B' L' F L B,D2 L' D2 L B R D' R' D' B' D' L B' L' B D',53
D R U2 R2 B L2 F' B2 L2 U' R2 L2 B' U' F' B' L' D' B L U2,,F' L2 D' B D L2,B' D' B' U R' U',B R2 B',L' F2 U' R U F2 L,B' F D2 B F',D2 L2 B2 L F2 L' B2 L F2 L,D L' D2 L B R D' R' D' B' D' L B' L' B,52
R2 U' B2 D2 U B' D' F' R' F' L R2 F U' D L D U2 R D' L R,,F' R' D' U L2 F,R D R2 B2 D2 B',B R' B2 F D' B F',D' R D R' D2 R D' R2,F2 L D L' D' F2,F' R' B' R F R' B R,D D' F2 U' B2 U' L2 B' U' F U2 B' U F D',56
D2 R F' D2 B D' R2 L D2 U B' L U' D B' D2 L2 B2 U' D F2 L2 D2,,U2 R U' L2 R U2,R D' B2 R2 D2 B',D2 B R' B',L D' R D L' R',D' R2 D2 R' D' R2,D2 L2 B2 L F2 L' B2 L F2 L,R' D L' D R D2 B R F2 R' B' F2 D L D2,53
L R' F2 L2 U L2 U2 D2 R U2 F B D B' F' U2 L D2 B R' U D' B R' F2,,F' R2 U2 R' D F2,R2 B' D2 R D B2,B R' B2 D' B,U' B2 D B2 U R',D' L' D R' D' L R,D2 L2 B2 L F2 L' B2 L F2 L,R2 B2 U2 L2 B' F' U2 R2 B' F' D',51
B2 F2 D' U' R2 F L F B2 L' R2 F' B2 U2 F' B R' B2 F' D U2 F L2 F2 U',,R' U L' D' R B' L2,B2 U2 L' F2 L U2,D' B R B2 D' B,U' R D' R' D' U R2,R' D2 R D R' D' R,B D2 B' D' B D' B',D F2 U L2 D2 F2 D' F2 D' L2 F2 D2 F2 U' F2,55
U L' F R' U' B U2 B U' D2 F2 L D2 R' F2 R2 L' F' D2 B' L2,,D U' L U B U',R B2 D2 B R' B2,F' U' R2 U F,D' R D' R' D2 R',D' R' D2 L' D R D' L,D L2 B2 L F2 L' B2 L F2 L,D' F2 R D' L D2 R' D L' R2 F2 R2 D F2 D',56
F2 L U F2 U2 D2 B R F2 D2 F' D F D R2 D2 B D' B U2 F R B R B2,,D' B F' L2 U,D2 L B' L2 D' L,F' R F2 D F',D R D2 R' D2 R D R',D' R D2 R' D R2,B D' F' D B' D' F,D2 D' B2 U' L2 D L2 B2 U R2 D' R2 D,50
R2 F' D2 B' L D' U R' B2 D2 U2 L R U D' F' U' R2 F2 D2 F' U D F2 B,,F2 R U F' L' D' F,R2 B R2 B2 D' B2,R' B R' B2 D' B,D' R2 D' R D2 R D R2,D2 R D2 R2 D' R2 D' R',D F' D2 B' F D L2 D L2 D' L2 B,L' D2 L B R D' R' D' B' D' L B' L' B D,62
B R U B F2 L D R2 L2 B D L U' L' D2 R D R' L' F2 R2 U L2,,B U' R' F',D2 L' R D L D B',D2 B R B2 D' B,D' R D2 R' D' R D R',R D2 R' D R D' R,L' D2 L2 D L2 D L2 D2 L',D' D' F2 U' B2 U' L2 B' U' F U2 B' U F D',56
U L' R F D' B' L' U2 F B2 L2 D F' B2 L D2 U' R2 D2 F2 D F,,D2 U R2 B L' U',U R' D2 U' R2 B,B R' B2 F D' B F',R D' R' D R' D' R2,R2 D' R2 D' R2 D2 R2,D L2 B2 L F2 L' B2 L F2 L,L D' B R' B' L' B R B' D' L D2 L' D,57
F L2 D' B' L2 F B2 D F2 U' B F' L' R D R' D B' L' F D' L D2 U F,,U L U L2 U',B U' B' U R' B,D B R B',L' D R D' L D R2,D2 R' D2 R D R' D' R,L' D2 L2 D L2 D L2 D2 L',D L' R' D2 L R B D' F D2 B' D F' D',53
